improvement_epsilon	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
-1.075987	1.832359	8.000000	1.917182	0.425581	8.000000	false	false
-1.075986	1.832359	8.000000	1.917182	0.425581	8.000000	false	false
-0.192625	1.805414	5.924546	1.904991	0.439754	5.923778	false	false
-0.133106	1.793337	4.678287	1.888952	0.446214	4.675982	false	false
-0.098391	1.787632	3.852873	1.881014	0.449970	3.828726	true	false
-0.071245	1.785248	3.320272	1.881145	0.448367	3.316556	true	false
-0.047840	1.783102	2.884843	1.881902	0.448017	2.887971	true	false
-0.027826	1.784760	2.578745	1.881997	0.448017	2.581380	true	false
-0.006976	1.788437	2.306328	1.886489	0.448367	2.313702	true	false
0.014763	1.792673	2.086668	1.888216	0.447266	2.082332	true	false
0.038926	1.795420	1.909591	1.892123	0.446815	1.901092	true	false
0.064618	1.798561	1.748119	1.895910	0.446214	1.742037	true	false
0.095636	1.802689	1.592690	1.898059	0.445663	1.595803	true	true
0.137682	1.808795	1.433209	1.903685	0.443910	1.440755	true	false
0.201879	1.818127	1.271087	1.910446	0.441356	1.281701	true	false
1.062833	1.842251	1.000000	1.941757	0.430038	1.000000	true	false
1.062834	1.842251	1.000000	1.941757	0.430038	1.000000	false	false
