threshold	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
-0.633590	1.832359	8.000000	1.917182	0.425581	8.000000	false	false
-0.633589	1.832360	7.999950	1.917182	0.425581	8.000000	false	false
0.435403	1.831017	7.359755	1.915712	0.427284	7.406200	false	false
0.792858	1.829657	6.841289	1.913327	0.426683	6.879908	false	false
1.043158	1.828038	6.297125	1.906149	0.431090	6.323668	false	false
1.238611	1.822437	5.589509	1.901959	0.434946	5.642528	true	false
1.390856	1.820508	5.049496	1.904571	0.432843	5.100761	true	false
1.502865	1.821430	4.552907	1.907540	0.434095	4.628706	true	false
1.642551	1.822903	4.069872	1.909623	0.433444	4.134015	true	false
1.802458	1.826271	3.477273	1.918670	0.430889	3.507662	true	true
1.953274	1.830081	3.000280	1.931127	0.427734	3.021384	true	false
2.101853	1.834294	2.655490	1.932445	0.428135	2.674078	true	false
2.342190	1.838679	2.292444	1.941702	0.430188	2.267178	false	false
2.765355	1.840202	1.449164	1.940722	0.431340	1.462590	true	false
2.944900	1.840559	1.101342	1.941790	0.429537	1.105218	false	false
3.712831	1.842251	1.000000	1.941757	0.430038	1.000000	true	false
3.712832	1.842251	1.000000	1.941757	0.430038	1.000000	false	false
