improvement_epsilon	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
-0.586034	2.541792	8.000000	2.627563	0.287298	8.000000	true	true
-0.586033	2.541792	8.000000	2.627563	0.287298	8.000000	false	false
-0.152663	2.579287	5.351870	2.666787	0.271169	5.460685	false	false
-0.094125	2.567132	3.792569	2.664602	0.284274	3.779234	true	false
-0.059839	2.580519	2.976870	2.682174	0.283266	3.024194	true	false
-0.038939	2.585049	2.548228	2.691566	0.281250	2.584677	true	false
-0.022344	2.589487	2.268947	2.696029	0.282258	2.275202	true	false
-0.008902	2.589999	2.064222	2.697211	0.283266	2.055444	true	false
0.001740	2.596226	1.927904	2.702749	0.283266	1.904234	false	false
0.011158	2.601231	1.833907	2.700444	0.284274	1.830645	true	false
0.023138	2.602179	1.751722	2.701525	0.284274	1.772177	true	false
0.038050	2.606685	1.688238	2.707323	0.284274	1.706653	true	false
0.061448	2.618704	1.595472	2.715378	0.275202	1.603831	true	false
0.093187	2.634462	1.422982	2.737193	0.256048	1.408266	true	false
0.166005	2.656915	1.254921	2.748335	0.255040	1.254032	true	false
0.593305	2.690201	1.000000	2.782735	0.244960	1.000000	true	false
0.593306	2.690201	1.000000	2.782735	0.244960	1.000000	false	false
