threshold	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
1.529687	2.541792	8.000000	2.627563	0.287298	8.000000	true	false
1.529688	2.541792	8.000000	2.627563	0.287298	8.000000	false	false
1.956588	2.545220	7.086368	2.647298	0.279234	6.964718	true	true
2.033844	2.558684	6.723671	2.661112	0.260081	6.571573	true	false
2.146491	2.581147	6.028051	2.691193	0.258065	5.762097	true	false
2.228338	2.592324	5.132136	2.696058	0.258065	4.992944	false	false
2.276146	2.598460	4.619586	2.693636	0.269153	4.583669	true	false
2.327928	2.607205	4.187746	2.701019	0.264113	4.180444	true	false
2.395452	2.610340	3.668061	2.703052	0.259073	3.710685	true	false
2.474603	2.622559	3.310778	2.719186	0.255040	3.288306	true	false
2.544120	2.637614	2.922244	2.735398	0.251008	2.955645	true	false
2.610734	2.638324	2.496309	2.743282	0.259073	2.421371	true	false
2.714370	2.660779	2.200295	2.769512	0.253024	2.123992	true	false
2.896900	2.675091	1.596211	2.777369	0.246976	1.548387	true	false
3.106133	2.687644	1.026575	2.782354	0.244960	1.016129	true	false
3.322589	2.690201	1.000000	2.782735	0.244960	1.000000	true	false
3.322590	2.690201	1.000000	2.782735	0.244960	1.000000	false	false
