improvement_epsilon	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
-0.952607	1.552225	8.000000	1.722243	0.495092	8.000000	true	false
-0.952606	1.552222	7.999930	1.722243	0.495092	8.000000	false	false
-0.108073	1.572563	5.674096	1.736918	0.492137	5.732822	true	false
-0.056646	1.576754	4.575884	1.737363	0.493890	4.586839	true	false
-0.033189	1.579382	3.956416	1.737915	0.495593	3.946765	true	false
-0.019371	1.581069	3.536021	1.738562	0.496595	3.531400	true	true
-0.011120	1.582096	3.228773	1.740312	0.495944	3.240585	true	false
-0.005737	1.583041	3.009223	1.741582	0.495593	3.016276	true	false
-0.001215	1.583738	2.809919	1.742296	0.495994	2.827374	false	false
0.003888	1.584325	2.589529	1.742424	0.495944	2.603816	false	false
0.011374	1.585088	2.382242	1.742111	0.495893	2.388572	true	false
0.021235	1.586562	2.179857	1.743832	0.495343	2.183494	true	false
0.036353	1.589164	1.969960	1.745408	0.494541	1.969702	true	false
0.065148	1.594742	1.719430	1.750580	0.494241	1.723708	true	false
0.135193	1.607229	1.420495	1.762188	0.489884	1.416266	true	false
1.309702	1.643119	1.000010	1.794482	0.482622	1.000000	true	false
1.309703	1.643124	1.000000	1.794482	0.482622	1.000000	false	false
