threshold	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
-0.833520	1.552225	8.000000	1.722243	0.495092	8.000000	true	false
-0.833519	1.552225	7.999940	1.722243	0.495092	8.000000	false	false
0.236981	1.552726	7.405480	1.724495	0.494942	7.481370	true	false
0.584903	1.555428	6.860466	1.726263	0.494792	6.904798	false	false
0.820678	1.559188	6.314521	1.725295	0.494491	6.311398	true	false
1.065763	1.566739	5.736586	1.730892	0.494191	5.701422	true	false
1.247398	1.573037	5.170225	1.733821	0.494641	5.113882	true	false
1.397230	1.579351	4.628751	1.738072	0.494892	4.561949	true	true
1.533439	1.586587	4.124650	1.741395	0.494291	4.056390	true	false
1.676901	1.595479	3.656600	1.746760	0.493239	3.607071	true	false
1.844045	1.606324	3.188120	1.755865	0.490936	3.155048	true	false
2.018209	1.616478	2.770867	1.764420	0.489433	2.733474	true	false
2.262034	1.626333	2.366627	1.772068	0.487129	2.321615	true	false
2.601320	1.635976	1.744958	1.783365	0.484275	1.715445	true	false
2.761513	1.638622	1.310119	1.786872	0.483724	1.303986	true	false
4.155495	1.643124	1.000000	1.794482	0.482622	1.000000	true	false
4.155496	1.643124	1.000000	1.794482	0.482622	1.000000	false	false
