improvement_epsilon	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
-0.503162	0.340307	8.000000	4.355972	0.294369	8.000000	true	true
-0.503161	0.340307	8.000000	4.355972	0.294369	8.000000	false	false
-0.038049	0.390605	5.457432	4.422409	0.297933	5.437634	true	false
-0.017927	0.399418	4.310571	4.435235	0.292944	4.374911	true	false
-0.010061	0.399246	3.751685	4.446879	0.287242	3.793300	true	false
-0.005501	0.402447	3.382582	4.455959	0.287242	3.451176	true	false
-0.002545	0.402545	3.111032	4.468185	0.286529	3.203136	true	false
-0.000159	0.404163	2.919475	4.479393	0.283678	2.971490	true	false
0.002081	0.402187	2.702377	4.494084	0.280114	2.786885	true	false
0.004530	0.403343	2.512238	4.496126	0.280114	2.590877	false	false
0.007558	0.404023	2.330614	4.509788	0.280827	2.383464	false	false
0.011902	0.405718	2.149521	4.517179	0.279401	2.178902	false	false
0.018621	0.413586	1.942178	4.515316	0.276550	1.952245	false	false
0.032435	0.434164	1.704505	4.494152	0.278689	1.697791	true	false
0.067538	0.473347	1.407946	4.533801	0.270135	1.366358	true	false
0.464868	0.557727	1.000177	4.561298	0.255880	1.000000	true	false
0.464869	0.557728	1.000000	4.561298	0.255880	1.000000	false	false
