threshold	train_loss	train_avg_depth	val_loss	val_accuracy	val_avg_depth	is_pareto	is_recommended
-0.411419	0.340307	8.000000	4.355972	0.294369	8.000000	true	false
-0.411418	0.340307	8.000000	4.355972	0.294369	8.000000	false	false
0.034224	0.341022	7.251153	4.357148	0.292944	7.263008	true	false
0.104609	0.352530	6.653423	4.368854	0.287954	6.694940	false	false
0.156505	0.360261	6.103228	4.365647	0.286529	6.183179	true	false
0.203791	0.369912	5.567577	4.389565	0.278689	5.626514	true	true
0.244330	0.378089	5.049663	4.403049	0.280827	5.048468	true	false
0.282425	0.388357	4.559418	4.411651	0.279401	4.558803	false	false
0.321122	0.399840	4.109968	4.406314	0.274412	4.017819	true	false
0.364704	0.420117	3.645442	4.425093	0.268710	3.492516	true	false
0.406233	0.435514	3.194750	4.434590	0.261582	2.996436	true	false
0.452898	0.454611	2.757893	4.437887	0.258731	2.587313	true	false
0.511726	0.475492	2.314473	4.466123	0.254455	2.180328	true	false
0.585592	0.496148	1.845513	4.490173	0.256593	1.700642	true	false
0.688474	0.526769	1.415041	4.515797	0.257306	1.325018	true	false
1.252651	0.557728	1.000000	4.561298	0.255880	1.000000	true	false
1.252652	0.557728	1.000000	4.561298	0.255880	1.000000	false	false
