corpus	threshold	val_loss	avg_depth	is_pareto	is_recommended
small_snippet	-0.411419	4.355972	8.000000	true	false
small_snippet	-0.411418	4.355972	8.000000	false	false
small_snippet	0.034224	4.357148	7.263008	true	false
small_snippet	0.104609	4.368854	6.694940	false	false
small_snippet	0.156505	4.365647	6.183179	true	false
small_snippet	0.203791	4.389565	5.626514	true	true
small_snippet	0.244330	4.403049	5.048468	true	false
small_snippet	0.282425	4.411651	4.558803	false	false
small_snippet	0.321122	4.406314	4.017819	true	false
small_snippet	0.364704	4.425093	3.492516	true	false
small_snippet	0.406233	4.434590	2.996436	true	false
small_snippet	0.452898	4.437887	2.587313	true	false
small_snippet	0.511726	4.466123	2.180328	true	false
small_snippet	0.585592	4.490173	1.700642	true	false
small_snippet	0.688474	4.515797	1.325018	true	false
small_snippet	1.252651	4.561298	1.000000	true	false
small_snippet	1.252652	4.561298	1.000000	false	false
large_100k	-0.833520	1.722243	8.000000	true	false
large_100k	-0.833519	1.722243	8.000000	false	false
large_100k	0.236981	1.724495	7.481370	true	false
large_100k	0.584903	1.726263	6.904798	false	false
large_100k	0.820678	1.725295	6.311398	true	false
large_100k	1.065763	1.730892	5.701422	true	false
large_100k	1.247398	1.733821	5.113882	true	false
large_100k	1.397230	1.738072	4.561949	true	true
large_100k	1.533439	1.741395	4.056390	true	false
large_100k	1.676901	1.746760	3.607071	true	false
large_100k	1.844045	1.755865	3.155048	true	false
large_100k	2.018209	1.764420	2.733474	true	false
large_100k	2.262034	1.772068	2.321615	true	false
large_100k	2.601320	1.783365	1.715445	true	false
large_100k	2.761513	1.786872	1.303986	true	false
large_100k	4.155495	1.794482	1.000000	true	false
large_100k	4.155496	1.794482	1.000000	false	false
